id,bar_id,user_id,user_name,added,fill_percentage,product_id,product_name,brand,brand_id,spirit,size,proof,average_msrp,fair_price,shelf_price,popularity
1000001,1000001,100000,robertsmith,2024-01-15,25,158,Weller Antique 107,Weller,156,Bourbon,750,107.0,56.35,116.66,109.89,100266
1000002,1000002,100000,robertsmith,2024-03-29,100,18228,Larceny Barrel Proof Batch B522,Larceny,587,Bourbon,750,123.8,59.99,70.21,69.99,200
1000003,1000003,100000,robertsmith,2023-12-17,5,2419,Crown Royal Regal Apple,Crown,182,Canadian Whisky,750,70,26.7,32.37,28.66,1700
1000004,1000004,100000,robertsmith,2023-01-14,0,3793,High West American Prairie Bourbon,High,350,Bourbon,750,92,36.82,57.5,40.8,100
1000005,1000005,100000,robertsmith,2023-03-28,0,145,Barrell Bourbon Infinite Barrel Project,Barrell,146,Bourbon,750,130,64.41,67.63,77.28,1980
1000006,1000006,100000,robertsmith,2023-11-05,25,477,George T. Stagg 2009 Release,George,352,Bourbon,750,141.4,99.98,843.74,974.99,1900
1000007,1000007,100000,robertsmith,2023-10-20,25,18778,Remus Repeal Reserve VI,Remus,586,Bourbon,750,100,109.99,153.09,209.47,1980
1000008,1000008,100000,robertsmith,2023-03-03,5,17776,Green River Bourbon DSP-KY-10,Green,3445,Bourbon,750,90,34.99,47.06,34.99,600
1000009,1000009,100000,robertsmith,2023-03-31,10,48295,Booker’s Bourbon 2024-03,Booker’s,647,Bourbon,750,130.3,99.99,135.62,114.99,100038
1000010,1000010,100001,mike.john,2023-02-05,10,363,Jim Beam Double Oak,Jim,247,Bourbon,750,86,22.9,28.12,25.74,200
1000011,1000011,100001,mike.john,2023-05-14,100,634,Murray Hill Club Bourbon,Murray,406,Bourbon,750,103,107.48,116.01,115.32,200
1000012,1000012,100001,mike.john,2024-04-17,10,3959,William Larue Weller - 2009,William,156,Bourbon,750,134.8,104.14,563.81,1296.96,1820
1000013,1000013,100002,victoria75,2023-06-25,100,1730,Old Fitzgerald 15 Year,Old,234,Bourbon,750,100,149.97,290.14,583,1700
1000014,1000014,100002,victoria75,2023-01-24,0,17354,George Dickel x Leopold Brothers Collaboration,George,486,Whiskey,750,100,109.98,126.61,120.79,1800
1000015,1000015,100002,victoria75,2023-10-16,50,19556,Kentucky Owl Takumi Edition,Kentucky,779,Bourbon,750,100,142.48,145.32,147.18,1800
1000016,1000016,100002,victoria75,2023-08-31,0,15947,Smoke Wagon Small Batch Bourbon,Smoke,2808,Bourbon,750,100.0,45.99,76.79,62.78,1800
1000017,1000017,100002,victoria75,2023-09-05,50,1948,Old Forester Single Barrel 100 Proof,Old,5959,Bourbon,750,100.0,71.63,135.44,219.99,200
1000018,1000018,100002,victoria75,2023-06-28,75,41273,Stagg Batch 24A,Stagg,3640,Bourbon,750,127.6,65,172.98,207.47,100046
1000019,1000019,100002,victoria75,2023-12-14,25,521,Legent Bourbon Whiskey,Legent,4589,Bourbon,750,94,44.97,45.53,47.19,200
1000020,1000020,100002,victoria75,2023-07-31,0,2363,W.B. Saffell,W.B.,191,Bourbon,375,107.0,49.97,59.47,58.14,
1000021,1000021,100002,victoria75,2023-02-13,5,2753,WhistlePig 10 Year Single Barrel,WhistlePig,3549,Rye,750,117.8,88.94,106.16,111.08,200
1000022,1000022,100002,victoria75,2023-08-19,50,17246,Benchmark Top Floor,Benchmark,3330,Bourbon,750,86,17.47,24.94,17.89,200
1000023,1000023,100002,victoria75,2023-04-25,100,2879,1792 Sweet Wheat Bourbon,1792,42,Bourbon,750,91.2,37.34,87.85,77.49,100063
1000024,1000024,100002,victoria75,2024-02-13,5,670,Coopers' Craft Barrel Reserve,Coopers',2494,Bourbon,750,100,32.22,44.66,40.03,100045
1000025,1000025,100003,sarah493,2023-08-19,0,355,Baker's 7 Year 107 Proof,Baker's,288,Bourbon,750,107.0,61.08,85.23,74.99,100050
1000026,1000026,100003,sarah493,2023-01-30,0,1074,Early Times Bottled In Bond,Early,348,Bourbon,1000,100,24.01,36.14,22.57,100054
1000027,1000027,100003,sarah493,2023-03-04,75,14303,Elijah Craig Barrel Proof Batch C917,Elijah,2,Bourbon,750,131,62.48,98.07,89.99,1200
1000028,1000028,100003,sarah493,2023-09-19,0,5029,Noble Oak Double Oak Bourbon,Noble,507,Bourbon,750,90,33.11,40.52,34.39,200
1000029,1000029,100003,sarah493,2023-08-23,75,159,Blanton's Gold Edition,Blanton's,10,Bourbon,750,103,119.99,232.52,324.99,100190
1000030,1000030,100003,sarah493,2024-04-03,0,19851,Maker’s Mark French Oaked No. 46 Cask Strength 23-01,Maker’s,333,Bourbon,750,110,65,67.83,76.33,200
1000031,1000031,100003,sarah493,2023-10-06,50,634,Murray Hill Club Bourbon,Murray,406,Bourbon,750,103,107.48,116.01,115.32,200
1000032,1000032,100003,sarah493,2023-11-21,10,18712,Elijah Craig Barrel Proof Batch C922,Elijah,2,Bourbon,750,125,69.97,107.5,79.99,1200
1000033,1000033,100003,sarah493,2023-11-16,75,2419,Crown Royal Regal Apple,Crown,182,Canadian Whisky,750,70,26.7,32.37,28.66,1700
1000034,1000034,100003,sarah493,2023-12-25,50,17309,Elijah Craig Barrel Proof Batch C921,Elijah,2,Bourbon,750,120,69.97,109.18,79.99,1200
1000035,1000035,100003,sarah493,2023-09-16,50,16674,Old Fitzgerald 16 Year,Old,234,Bourbon,750,100,155.69,346.14,796.95,1999
1000036,1000036,100003,sarah493,2023-12-05,10,42342,Heaven Hill Grain to Glass Kentucky Straight Bourbon Whiskey,Heaven,,,750,107,99.99,107.43,132.73,
1000037,1000037,100003,sarah493,2023-06-11,10,19499,Booker’s 2023-01 Charlie’s Batch,Booker’s,647,Bourbon,750,127,89.99,110.34,100.59,200
1000038,1000038,100003,sarah493,2023-09-15,50,16681,Blanton's Black,Blanton's,10,Bourbon,750,80,199.99,294.28,224.73,100033
1000039,1000039,100004,lily325,2023-03-10,50,3958,Basil Hayden's Bourbon,Basil,330,Bourbon,750,80,38.95,52.11,44.13,100027
1000040,1000040,100004,lily325,2023-06-19,0,1736,Bulleit Bourbon Barrel Strength,Bulleit,415,Bourbon,750,119.4,50.14,67.32,54.03,200
1000041,1000041,100004,lily325,2023-08-24,10,18185,Jack Daniel’s Triple Mash,Jack,231,Whiskey,700,100,36.48,46.87,59.99,
1000042,1000042,100004,lily325,2023-06-14,10,519,Pappy Van Winkle 23 Year Family Reserve,Pappy,370,Bourbon,750,95.6,321.64,958.61,4899.97,100046
1000043,1000043,100004,lily325,2024-01-29,0,17248,Benchmark Full Proof,Benchmark,3330,Bourbon,750,125,21.47,33.47,25.99,100037
1000044,1000044,100004,lily325,2023-10-12,5,495,Maker's Mark Cask Strength,Maker's,333,Bourbon,750,113.2,49.73,65.34,55.7,200
1000045,1000045,100004,lily325,2023-02-07,0,20783,Larceny Barrel Proof Batch C923,Larceny,587,Bourbon,750,126.4,59.99,104.33,75.26,100028
1000046,1000046,100004,lily325,2023-02-08,10,16681,Blanton's Black,Blanton's,10,Bourbon,750,80,199.99,294.28,224.73,100033
1000047,1000047,100004,lily325,2023-03-11,25,19848,Blood Oath Pact No.9,Blood,849,Bourbon,750,98,134.97,273.22,248.4,1400
1000048,1000048,100004,lily325,2024-03-09,25,12152,Fortaleza Reposado Tequila,Fortaleza,,,750,80,57.95,110.2,62.58,
1000049,1000049,100005,tom,2023-05-20,100,1629,Michter's US1 Kentucky Straight Bourbon,Michter's,405,Bourbon,750,91,41.82,72.44,63.99,100061
1000050,1000050,100005,tom,2023-01-17,100,18440,Heaven’s Door Decade Series 10 Year Release 1,Heaven’s,299,Bourbon,750,100,99,98.96,98.85,200
